{'stateEstimate.z': -0.15039601922035217, 'stateEstimate.y': 2.8724305629730225, 'stateEstimate.x': 1.1734256744384766}
{'stateEstimate.z': -0.15088701248168945, 'stateEstimate.y': 2.8732895851135254, 'stateEstimate.x': 1.1736944913864136}
{'stateEstimate.z': -0.14933083951473236, 'stateEstimate.y': 2.8733482360839844, 'stateEstimate.x': 1.175034999847412}
{'stateEstimate.z': -0.15007032454013824, 'stateEstimate.y': 2.8740322589874268, 'stateEstimate.x': 1.1765034198760986}
{'stateEstimate.z': -0.14974872767925262, 'stateEstimate.y': 2.8751089572906494, 'stateEstimate.x': 1.1773337125778198}
{'stateEstimate.z': -0.15090440213680267, 'stateEstimate.y': 2.8753528594970703, 'stateEstimate.x': 1.1824169158935547}
{'stateEstimate.z': -0.14949549734592438, 'stateEstimate.y': 2.8740975856781006, 'stateEstimate.x': 1.1802812814712524}
{'stateEstimate.z': -0.15116438269615173, 'stateEstimate.y': 2.8732361793518066, 'stateEstimate.x': 1.1797088384628296}
{'stateEstimate.z': -0.15170903503894806, 'stateEstimate.y': 2.874545097351074, 'stateEstimate.x': 1.17922842502594}
{'stateEstimate.z': -0.14991389214992523, 'stateEstimate.y': 2.8750905990600586, 'stateEstimate.x': 1.1764700412750244}
{'stateEstimate.z': -0.15123437345027924, 'stateEstimate.y': 2.8751137256622314, 'stateEstimate.x': 1.1779557466506958}
{'stateEstimate.z': -0.14997713267803192, 'stateEstimate.y': 2.8749029636383057, 'stateEstimate.x': 1.1761423349380493}
{'stateEstimate.z': -0.15048134326934814, 'stateEstimate.y': 2.8755805492401123, 'stateEstimate.x': 1.1784522533416748}
{'stateEstimate.z': -0.1491153985261917, 'stateEstimate.y': 2.8718526363372803, 'stateEstimate.x': 1.1751691102981567}
{'stateEstimate.z': -0.15087367594242096, 'stateEstimate.y': 2.8727877140045166, 'stateEstimate.x': 1.1784827709197998}
{'stateEstimate.z': -0.1506347805261612, 'stateEstimate.y': 2.8716883659362793, 'stateEstimate.x': 1.1757104396820068}
{'stateEstimate.z': -0.14987121522426605, 'stateEstimate.y': 2.8722267150878906, 'stateEstimate.x': 1.1740343570709229}
{'stateEstimate.z': -0.1498764455318451, 'stateEstimate.y': 2.8728322982788086, 'stateEstimate.x': 1.174002766609192}
{'stateEstimate.z': -0.1486882120370865, 'stateEstimate.y': 2.8716888427734375, 'stateEstimate.x': 1.1727535724639893}
{'stateEstimate.z': -0.14883387088775635, 'stateEstimate.y': 2.871846914291382, 'stateEstimate.x': 1.1741749048233032}
{'stateEstimate.z': -0.1471511870622635, 'stateEstimate.y': 2.8688488006591797, 'stateEstimate.x': 1.171217918395996}
{'stateEstimate.z': -0.14835913479328156, 'stateEstimate.y': 2.869434356689453, 'stateEstimate.x': 1.1729204654693604}
{'stateEstimate.z': -0.14694784581661224, 'stateEstimate.y': 2.8677961826324463, 'stateEstimate.x': 1.169104814529419}
{'stateEstimate.z': -0.1467990279197693, 'stateEstimate.y': 2.870575428009033, 'stateEstimate.x': 1.1658493280410767}
{'stateEstimate.z': -0.14761340618133545, 'stateEstimate.y': 2.8714516162872314, 'stateEstimate.x': 1.1664541959762573}
{'stateEstimate.z': -0.1460827738046646, 'stateEstimate.y': 2.8741753101348877, 'stateEstimate.x': 1.1622920036315918}
